Thailand,14860
Japan,5712
Taiwan,4854
Malaysia,4044
Hong Kong,3924
Australia,3780
Singapore,2588
United States,2432
South Korea,2190
Indonesia,2050
Macao,1720
United Arab Emirates,1460
Vietnam,1412
Cambodia,1155
France,928
Philippines,812
Canada,792
Italy,712
New Zealand,663
United Kingdom,675
Germany,346
Russia,295
Myanmar,236
India,178
Maldives,188
Spain,202
Sri Lanka,158
Bangladesh,122
Netherlands,91
Pakistan,96
